                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.829,                 1.1784,                 1.1164,                0.78631,                0.43768,                0.49092,                0.24828,                 1.6258,                 0.9178,                 1.0355,             0.00066647,             0.00066647,             0.00066647
                      2,                 1.7179,                 1.0094,                 1.0799,                 0.7683,                0.43995,                0.49573,                0.26413,                 1.5752,                0.89298,                 1.0315,              0.0012012,              0.0012012,              0.0012012
